,Ret_time,ticker,pos,neu,neg,ret
342,1/29/21,BB,0.243,0.757,0,-0.076527983
343,1/29/21,GME,0.243,0.757,0,0.432867892
344,1/29/21,GME,0.279,0.721,0,0.432867892
345,1/29/21,NOK,0.205,0.795,0,-0.009652451
346,1/29/21,RH,0,1,0,0.025369432
347,1/29/21,PLTR,0,1,0,-0.074102181
348,1/29/21,GME,0,0.8,0.2,0.432867892
349,1/29/21,PLTR,0,1,0,-0.074102181
350,1/29/21,AMC,0,1,0,0.194490899
351,1/29/21,GME,0,1,0,0.432867892
352,1/29/21,RH,0,1,0,0.025369432
353,1/29/21,RH,0,0.577,0.423,0.025369432
354,1/29/21,GME,0.292,0.708,0,0.432867892
355,1/29/21,GME,0,0.821,0.179,0.432867892
356,1/29/21,AMC,0,0.821,0.179,0.194490899
357,1/29/21,GME,0,1,0,0.432867892
358,1/29/21,GME,0,0.813,0.187,0.432867892
359,1/29/21,GME,0.123,0.735,0.143,0.432867892
360,1/29/21,AMC,0.123,0.735,0.143,0.194490899
361,1/29/21,AMC,0,1,0,0.194490899
362,1/29/21,RH,0,0.805,0.195,0.025369432
363,1/29/21,GME,0,1,0,0.432867892
364,1/29/21,AMC,0,1,0,0.194490899
365,1/29/21,NOK,0,0.811,0.189,-0.009652451
366,2/1/21,GME,0.184,0.816,0,-0.16631112
367,2/1/21,GME,0,1,0,-0.16631112
368,2/1/21,AMC,0,1,0,0.187980398
369,2/1/21,GME,0.137,0.863,0,-0.16631112
370,2/1/21,GME,0,0.915,0.085,-0.16631112
371,2/1/21,GME,0.363,0.637,0,-0.16631112
372,2/1/21,GME,0.075,0.925,0,-0.16631112
373,2/1/21,GME,0,0.905,0.095,-0.16631112
374,2/1/21,GME,0,0.844,0.156,-0.16631112
375,2/1/21,AMC,0.091,0.909,0,0.187980398
376,2/1/21,RH,0,0.775,0.225,0.010712199
377,2/1/21,GME,0,0.874,0.126,-0.16631112
378,2/1/21,GME,0,1,0,-0.16631112
379,2/1/21,GME,0,1,0,-0.16631112
380,2/1/21,AMC,0.081,0.919,0,0.187980398
381,2/1/21,BB,0,1,0,-0.185761918
382,2/1/21,GME,0.125,0.875,0,-0.16631112
383,2/1/21,GME,0,0.769,0.231,-0.16631112
384,2/1/21,GME,0,1,0,-0.16631112
385,2/1/21,GME,0,1,0,-0.16631112
386,2/1/21,GME,0,1,0,-0.16631112
387,2/1/21,GME,0,0.738,0.262,-0.16631112
388,2/1/21,GME,0,1,0,-0.16631112
389,2/1/21,DD,0,1,0,-0.078117067
390,2/1/21,GME,0.097,0.821,0.082,-0.16631112
391,2/1/21,AMC,0.097,0.821,0.082,0.187980398
392,2/1/21,RH,0.191,0.809,0,0.010712199
393,2/1/21,GME,0.126,0.874,0,-0.16631112
394,2/1/21,GME,0,1,0,-0.16631112
395,2/1/21,AMC,0.194,0.806,0,0.187980398
396,2/1/21,GME,0,1,0,-0.16631112
397,2/1/21,GME,0.291,0.709,0,-0.16631112
398,2/1/21,GME,0.248,0.752,0,-0.16631112
399,2/1/21,AMC,0.248,0.752,0,0.187980398
400,2/1/21,GME,0,1,0,-0.16631112
401,2/1/21,AMC,0,1,0,0.187980398
402,2/1/21,GME,0,1,0,-0.16631112
403,2/1/21,AMC,0.137,0.863,0,0.187980398
404,2/1/21,GME,0,1,0,-0.16631112
405,2/1/21,GME,0,1,0,-0.16631112
406,2/1/21,GME,0,0.804,0.196,-0.16631112
407,2/1/21,GME,0,1,0,-0.16631112
408,2/1/21,GME,0.167,0.833,0,-0.16631112
409,2/1/21,AMC,0.167,0.833,0,0.187980398
410,2/1/21,GME,0.204,0.634,0.162,-0.16631112
411,2/2/21,RH,0,0.792,0.208,0.032088817
412,2/2/21,BB,0.035,0.848,0.117,-0.079918036
413,2/2/21,CRSR,0.486,0.514,0,-0.01592045
414,2/1/21,GME,0,1,0,-0.16631112
415,2/1/21,GME,0,1,0,-0.16631112
416,2/1/21,AMC,0,1,0,0.187980398
417,2/2/21,GME,0,1,0,-0.555344972
418,2/2/21,DD,0.165,0.835,0,-0.003367908
419,2/2/21,REAL,0.165,0.835,0,0.026767018
420,2/1/21,GME,0.231,0.769,0,-0.16631112
421,2/2/21,BB,0,1,0,-0.079918036
422,2/2/21,GME,0.208,0.792,0,-0.555344972
423,2/1/21,GME,0,1,0,-0.16631112
424,2/1/21,NOK,0,1,0,-0.03118909
425,2/1/21,GME,0.202,0.798,0,-0.16631112
426,2/1/21,GME,0.268,0.732,0,-0.16631112
427,2/1/21,GME,0,1,0,-0.16631112
428,2/1/21,GME,0,1,0,-0.16631112
429,2/1/21,REAL,0.101,0.872,0.027,-0.04588985
430,2/1/21,GME,0.101,0.872,0.027,-0.16631112
431,2/1/21,GME,0.367,0.633,0,-0.16631112
432,2/1/21,GME,0,1,0,-0.16631112
433,2/1/21,NOK,0.298,0.702,0,-0.03118909
434,2/1/21,GME,0,1,0,-0.16631112
435,2/1/21,GME,0,1,0,-0.16631112
436,2/1/21,GME,0,1,0,-0.16631112
437,2/1/21,GME,0,1,0,-0.16631112
438,2/1/21,GME,0.296,0.704,0,-0.16631112
439,2/1/21,GME,0,1,0,-0.16631112
440,2/1/21,GME,0.252,0.748,0,-0.16631112
441,2/1/21,GME,0,1,0,-0.16631112
442,2/1/21,GME,0,1,0,-0.16631112
443,2/1/21,GME,0.092,0.719,0.19,-0.16631112
444,2/1/21,GME,0.235,0.6,0.165,-0.16631112
445,2/1/21,GME,0.231,0.769,0,-0.16631112
446,2/1/21,GME,0,1,0,-0.16631112
447,2/1/21,GME,0,0.702,0.298,-0.16631112
448,2/1/21,RH,0,0.455,0.545,0.010712199
449,2/1/21,GME,0,1,0,-0.16631112
450,2/1/21,RH,0.179,0.821,0,0.010712199
451,2/1/21,RH,0,0.877,0.123,0.010712199
452,2/1/21,GME,0.16,0.56,0.28,-0.16631112
453,2/1/21,GME,0,0.697,0.303,-0.16631112
454,2/1/21,GME,0,1,0,-0.16631112
455,2/1/21,GME,0.286,0.714,0,-0.16631112
456,2/1/21,AMC,0.049,0.885,0.066,0.187980398
457,2/1/21,GME,0.212,0.525,0.263,-0.16631112
458,2/1/21,AMC,0,1,0,0.187980398
459,2/1/21,GME,0,1,0,-0.16631112
460,2/1/21,GME,0,1,0,-0.16631112
461,2/1/21,DD,0,0.756,0.244,-0.078117067
462,2/1/21,GME,0,0.756,0.244,-0.16631112
463,2/1/21,GME,0.08,0.92,0,-0.16631112
464,2/1/21,GME,0,1,0,-0.16631112
465,2/1/21,GME,0,1,0,-0.16631112
466,2/1/21,GME,0,1,0,-0.16631112
467,2/1/21,GME,0.143,0.714,0.143,-0.16631112
468,2/1/21,BB,0,1,0,-0.185761918
469,2/1/21,GME,0,1,0,-0.16631112
470,2/1/21,GME,0,1,0,-0.16631112
471,2/1/21,DD,0.12,0.784,0.097,-0.078117067
472,2/1/21,PLTR,0.136,0.864,0,-0.034963091
473,2/1/21,GME,0,1,0,-0.16631112
474,2/1/21,GME,0.108,0.892,0,-0.16631112
475,2/1/21,GME,0.204,0.796,0,-0.16631112
476,2/1/21,BB,0.123,0.822,0.055,-0.185761918
477,2/1/21,GME,0,0.8,0.2,-0.16631112
478,2/1/21,NIO,0,1,0,0.000677637
479,2/1/21,DD,0,1,0,-0.078117067
480,2/1/21,GME,0.148,0.852,0,-0.16631112
481,2/1/21,GME,0,1,0,-0.16631112
482,2/1/21,AMC,0,1,0,0.187980398
483,2/1/21,GME,0.403,0.474,0.123,-0.16631112
484,2/1/21,TD,0,0.57,0.43,-0.006986851
485,2/1/21,RH,0.268,0.732,0,0.010712199
486,2/1/21,GME,0.268,0.732,0,-0.16631112
487,2/1/21,AMC,0,1,0,0.187980398
488,2/1/21,AMC,0,1,0,0.187980398
489,2/1/21,BB,0,1,0,-0.185761918
490,2/1/21,AMC,0,1,0,0.187980398
491,2/1/21,GME,0,1,0,-0.16631112
492,2/1/21,GME,0.119,0.757,0.124,-0.16631112
493,2/1/21,BB,0,1,0,-0.185761918
494,2/1/21,AMC,0,1,0,0.187980398
495,2/1/21,AMC,0.218,0.782,0,0.187980398
496,2/1/21,GME,0.064,0.936,0,-0.16631112
497,2/1/21,GME,0,1,0,-0.16631112
498,2/1/21,GME,0,1,0,-0.16631112
499,2/1/21,CRSR,0.486,0.514,0,0.01326023
500,2/1/21,GME,0.118,0.882,0,-0.16631112
501,2/1/21,BB,0,1,0,-0.185761918
502,2/1/21,GME,0,1,0,-0.16631112
503,2/1/21,GME,0.234,0.766,0,-0.16631112
504,2/1/21,GME,0.087,0.913,0,-0.16631112
505,2/1/21,DD,0.577,0.423,0,-0.078117067
506,2/1/21,NOK,0.299,0.701,0,-0.03118909
507,2/1/21,GME,0,0.798,0.202,-0.16631112
508,2/1/21,AMC,0,0.798,0.202,0.187980398
509,2/1/21,GME,0,1,0,-0.16631112
510,2/1/21,GME,0.236,0.764,0,-0.16631112
511,2/1/21,GME,0.104,0.896,0,-0.16631112
512,2/1/21,GME,0,1,0,-0.16631112
513,2/1/21,BB,0,0.71,0.29,-0.185761918
514,2/1/21,RH,0,0.682,0.318,0.010712199
515,2/1/21,GME,0,1,0,-0.16631112
516,2/1/21,ONE,0,1,0,-0.002688169
517,2/1/21,CRSR,0,1,0,0.01326023
518,2/1/21,GME,0,0.533,0.467,-0.16631112
519,2/1/21,GME,0,0.718,0.282,-0.16631112
520,2/1/21,NOK,0,1,0,-0.03118909
521,2/1/21,CRSR,0,0.622,0.378,0.01326023
522,2/1/21,GME,0,1,0,-0.16631112
523,2/1/21,GME,0,1,0,-0.16631112
524,2/1/21,GME,0,1,0,-0.16631112
525,2/1/21,GME,0.18,0.721,0.099,-0.16631112
526,2/1/21,GME,0,0.814,0.186,-0.16631112
527,2/1/21,DD,0.135,0.81,0.056,-0.078117067
528,2/1/21,GME,0.135,0.81,0.056,-0.16631112
529,2/1/21,DD,0,1,0,-0.078117067
530,2/1/21,AMC,0,1,0,0.187980398
531,2/1/21,GME,0.139,0.861,0,-0.16631112
532,2/1/21,AMC,0.139,0.861,0,0.187980398
533,2/1/21,GME,0.187,0.673,0.14,-0.16631112
